pdf_file,output_csv,rows,cols
Press_release_car_registrations_April_2025.pdf,Press_release_car_registrations_April_2025_schema.csv,176,6
Press_release_car_registrations_August_2025.pdf,Press_release_car_registrations_August_2025_schema.csv,172,6
Press_release_car_registrations_December_2024.pdf,Press_release_car_registrations_December_2024_schema.csv,352,6
Press_release_car_registrations_December_2025.pdf,Press_release_car_registrations_December_2025_schema.csv,344,6
Press_release_car_registrations_February_2024.pdf,Press_release_car_registrations_February_2024_schema.csv,352,6
Press_release_car_registrations_February_2025.pdf,Press_release_car_registrations_February_2025_schema.csv,352,6
Press_release_car_registrations_January_2025.pdf,Press_release_car_registrations_January_2025_schema.csv,352,6
Press_release_car_registrations_July_2024.pdf,Press_release_car_registrations_July_2024_schema.csv,176,6
Press_release_car_registrations_July_2025.pdf,Press_release_car_registrations_July_2025_schema.csv,344,6
Press_release_car_registrations_June_2024.pdf,Press_release_car_registrations_June_2024_schema.csv,352,6
Press_release_car_registrations_June_2025.pdf,Press_release_car_registrations_June_2025_schema.csv,352,6
Press_release_car_registrations_March_2024.pdf,Press_release_car_registrations_March_2024_schema.csv,352,6
Press_release_car_registrations_March_2025.pdf,Press_release_car_registrations_March_2025_schema.csv,352,6
Press_release_car_registrations_May_2024.pdf,Press_release_car_registrations_May_2024_schema.csv,352,6
Press_release_car_registrations_May_2025.pdf,Press_release_car_registrations_May_2025_schema.csv,176,6
Press_release_car_registrations_November_2024.pdf,Press_release_car_registrations_November_2024_schema.csv,176,6
Press_release_car_registrations_November_2025.pdf,Press_release_car_registrations_November_2025_schema.csv,344,6
Press_release_car_registrations_October_2024.pdf,Press_release_car_registrations_October_2024_schema.csv,176,6
Press_release_car_registrations_October_2025.pdf,Press_release_car_registrations_October_2025_schema.csv,344,6
Press_release_car_registrations_September_2024.pdf,Press_release_car_registrations_September_2024_schema.csv,176,6
Press_release_car_registrations_September_2025.pdf,Press_release_car_registrations_September_2025_schema.csv,172,6
